,Site,mois,Année,Date,E.coli ,E.coli_qualite,°C,ppt,%,pH
3222,B5,8,2003,8/4/2003,53,Bonne,26.63,38.12,68.6,8.02
3223,B6,8,2003,8/4/2003,43,Bonne,26.61,38.09,68.1,8.03
3233,B1,8,2003,8/11/2003,0,Bonne,27.33,37.78,90.8,8.11
3234,B2,8,2003,8/11/2003,21,Bonne,27.44,37.91,66.3,8.05
3235,B3,8,2003,8/11/2003,10,Bonne,27.37,37.63,88.1,8.1
3237,B4,8,2003,8/11/2003,0,Bonne,27.3,37.87,90.9,8.12
3238,B5,8,2003,8/11/2003,0,Bonne,27.42,37.95,66.5,8.04
3239,B6,8,2003,8/11/2003,10,Bonne,27.33,37.76,88.8,8.11
3249,B1,8,2003,8/18/2003,0,Bonne,28.03,38.17,67.3,8
3250,B2,8,2003,8/18/2003,0,Bonne,27.95,38.13,54.4,7.92
3251,B3,8,2003,8/18/2003,0,Bonne,28.05,38.1,55.5,7.93
3253,B4,8,2003,8/18/2003,0,Bonne,28.01,38.18,77.7,8.03
3254,B5,8,2003,8/18/2003,0,Bonne,28.09,38.13,55,7.94
3255,B6,8,2003,8/18/2003,10,Bonne,27.93,38.17,56.8,7.94
3265,B1,8,2003,8/25/2003,0,Bonne,28,38.1,91.1,8.12
3266,B2,8,2003,8/25/2003,208,Moyenne,27.9,38.14,46.9,7.96
3267,B3,8,2003,8/25/2003,0,Bonne,27.94,38.06,80.9,8.1
3269,B4,8,2003,8/25/2003,0,Bonne,28,38.14,95.5,8.14
3270,B5,8,2003,8/25/2003,0,Bonne,28.04,38.18,53.7,7.99
3271,B6,8,2003,8/25/2003,10,Bonne,27.95,38.2,51.8,7.96
3281,B1,9,2003,9/1/2003,0,Bonne,22.51,37.97,101.1,8.1
3282,B2,9,2003,9/1/2003,487,Moyenne,21.99,37.98,101.7,8.1
3283,B3,9,2003,9/1/2003,0,Bonne,22.23,38.01,100.2,8.11
3285,B4,9,2003,9/1/2003,0,Bonne,22.35,38,101.8,8.1
3286,B5,9,2003,9/1/2003,0,Bonne,21.87,37.95,98.8,8.09
